Date,Microsoft (Power BI),Salesforce (Tableau),IBM (Cognos)
2019-06-19,135.25898291971822,113.71447817519416,121.79884734565456
2019-06-20,136.5149713118861,115.97195670661296,123.37151535274361
2019-06-21,136.53488340137702,115.70636097740228,123.68251797674993
2019-06-24,137.34231139824092,112.54885029832819,123.81576503443121
2019-06-25,133.0061686496124,110.17335319349084,122.93613952595979
2019-06-26,133.50454944638685,109.95203288213438,123.07830684991981
2019-06-27,133.7238476038918,111.16930595017784,123.07830684991981
2019-06-28,133.53448186501225,111.93653455543631,122.52742239298719
2019-07-01,135.2489866972296,113.65545185511048,124.28670125675505
2019-07-02,136.14618784332384,113.69972727296471,124.58881146130763
2019-07-03,137.02338047334365,114.78419679861133,125.76162690805283
2019-07-05,136.62462440841287,114.0390888689056,125.61951527774285
2019-07-08,136.52495146327743,112.73328767631956,124.89976767393894
2019-07-09,136.02653852430845,113.57429350389117,123.79802660689872
2019-07-10,137.41210817359132,115.28585238582501,124.81094558442642
2019-07-11,137.96035758512798,117.22608999685565,125.4950863813153
2019-07-12,138.45877052409696,116.62115538286994,126.82786327320305
2019-07-15,138.45877052409696,117.77939077524677,127.3432430282457
2019-07-16,136.64458471119556,115.92032287101841,127.52980747354945
2019-07-17,135.83717278542892,116.73919666745437,127.12107177602687
2019-07-18,135.98665006093756,116.54737816055683,132.94981138881306
2019-07-19,136.18602809340297,115.63996488399535,132.9942270747068
2019-07-22,137.99024982601028,116.34082010701275,133.0475444623293
2019-07-23,138.84753036653913,115.27110148359556,133.61615806451942
2019-07-24,140.27300455029012,117.85316799755992,133.3052018518881
2019-07-25,139.74468329934163,117.55808181947324,133.6250597662482
2019-07-26,140.89103466607997,118.01548469999857,134.4869375649121
2019-07-29,140.58201960818505,115.24158832355371,134.06045415758203
2019-07-30,139.90418893953338,115.79488910194486,133.0741938738656
2019-07-31,135.83717278542892,113.98006254882192,131.71477685271657
2019-08-01,137.6214502863508,111.25781136355455,133.56288708827194
2019-08-02,136.46511876822112,107.48798494158858,130.8351234974201
2019-08-05,131.79004461416952,105.36332130814954,125.06860297398521
2019-08-06,134.26215704178028,105.34855905033713,125.04192571562396
2019-08-07,134.85027884559057,104.49279096495314,123.60254189531616
2019-08-08,138.44882251490012,106.10105946453203,125.94889680625691
2019-08-09,137.27256283618223,105.7690676419144,122.37988991407491
2019-08-12,135.3586719359509,103.81407912865433,120.16836004756608
2019-08-13,138.15973561759338,106.14531217122038,122.07424316274584
2019-08-14,133.9991133575648,103.07634097227182,117.99282684352248
2019-08-15,133.69912222077494,104.85430730319554,118.59513510397679
2019-08-16,136.14943420496803,106.15269330012657,120.24929220332525
2019-08-19,138.42976219356336,105.99038795327087,121.40000655328616
2019-08-20,137.27956983458262,107.36996636817003,119.56604250483676
2019-08-21,138.80981150129682,108.72739004076767,120.68979184591126
2019-08-22,137.79969482593435,109.36184917037815,120.75270710588784
2019-08-23,133.4090469509874,111.81851598201776,116.48250787763475
2019-08-26,135.46936965379882,114.45222768715959,116.86008297796917
2019-08-27,135.75938867474596,113.29398093919983,117.92088921224209
2019-08-28,135.57936024336783,112.01030042216651,119.35030386919567
2019-08-29,138.13969495932446,115.03503027000966,121.25616841982543
2019-08-30,137.87968067694032,115.13830929678169,121.84049691359715
2019-09-03,136.0594360603762,112.67426135623589,120.55492039010431
2019-09-04,137.649655062022,112.47510714276387,122.55068377414702
2019-09-05,140.07002659204107,113.44152402824315,126.73101201581215
