Date,Microsoft (Power BI),Salesforce (Tableau),IBM (Cognos)
2019-05-10,119.87711334228516,158.5507049560547,98.82496643066406
2019-05-13,116.312744140625,151.81967163085938,95.97677612304688
2019-05-14,117.61402130126953,156.69692993164062,97.35704040527344
2019-05-15,119.27030944824219,153.7130889892578,98.15309143066406
2019-05-16,122.0244369506836,157.10336303710938,99.23395538330078
2019-05-17,121.21051788330078,153.22735595703125,98.09465026855469
2019-05-20,119.45957946777344,154.62509155273438,98.67890930175781
2019-05-21,120.10316467285156,154.4268341064453,99.65020751953125
2019-05-22,120.83190155029297,156.2706756591797,99.5771713256836
2019-05-23,119.42171478271484,152.3748016357422,96.68516540527344
2019-05-24,119.4784927368164,153.16786193847656,96.60484313964844
2019-05-28,119.40277862548828,153.8419647216797,95.27567291259766
2019-05-29,118.2481460571289,151.5619354248047,94.71333312988281
2019-05-30,118.99581909179688,154.30787658691406,94.62571716308594
2019-05-31,117.05562591552734,150.09478759765625,92.74150848388672
2019-06-03,113.4212875366211,143.839599609375,93.67630004882812
2019-06-04,116.56346893310547,149.49998474121094,96.90426635742188
2019-06-05,119.0904769897461,157.06373596191406,96.02790069580078
2019-06-06,120.97386932373047,157.92616271972656,96.5610122680664
2019-06-07,124.36212921142578,159.86915588378906,97.35704040527344
2019-06-10,125.49784088134766,151.46279907226562,98.40138244628906
2019-06-11,125.024658203125,148.8457489013672,99.28504943847656
2019-06-12,124.44732666015625,149.96591186523438,98.49633026123047
2019-06-13,125.23284912109375,150.02537536621094,99.14629364013672
2019-06-14,125.35588073730469,148.70693969726562,98.70082092285156
2019-06-17,125.73448181152344,148.9844970703125,98.55474090576172
2019-06-18,127.9207534790039,149.2819061279297,99.59910583496094
2019-06-19,128.42236328125,152.8010711669922,100.11031341552734
2019-06-20,129.6148681640625,155.83450317382812,101.40293884277344
2019-06-21,129.63377380371094,155.4776153564453,101.65856170654297
2019-06-24,130.400390625,151.2347869873047,101.76808166503906
2019-06-25,126.28341674804688,148.0427703857422,101.04508972167969
2019-06-26,126.75660705566406,147.74537658691406,101.16194152832031
2019-06-27,126.9648208618164,149.3810577392578,101.16194152832031
2019-06-28,126.78502655029297,150.41200256347656,100.70915222167969
2019-07-01,128.41287231445312,152.7217559814453,102.15515899658203
2019-07-02,129.2647247314453,152.78125,102.40347290039062
2019-07-03,130.0975799560547,154.2384796142578,103.36744689941406
2019-07-05,129.71897888183594,153.2372589111328,103.25064086914062
2019-07-08,129.6243438720703,151.4826202392578,102.6590576171875
2019-07-09,129.151123046875,152.61270141601562,101.75350189208984
2019-07-10,130.46665954589844,154.91256713867188,102.58605194091797
2019-07-11,130.98719787597656,157.51971435546875,103.14836883544922
2019-07-12,131.46041870117188,156.70684814453125,104.24382019042969
2019-07-15,131.46041870117188,158.26319885253906,104.66742706298828
2019-07-16,129.73793029785156,155.76512145996094,104.82077026367188
2019-07-17,128.97132873535156,156.86546325683594,104.48481750488281
2019-07-18,129.11325073242188,156.6077117919922,109.27564239501953
2019-07-19,129.30255126953125,155.38839721679688,109.31214904785156
2019-07-22,131.0155792236328,156.3301544189453,109.35597229003906
2019-07-23,131.82952880859375,154.8927459716797,109.82333374023438
2019-07-24,133.18295288085938,158.36233520507812,109.5677490234375
2019-07-25,132.68133544921875,157.9658203125,109.83065032958984
2019-07-26,133.76974487304688,158.5804443359375,110.53905487060547
2019-07-29,133.47634887695312,154.85308837890625,110.18851470947266
2019-07-30,132.83277893066406,155.59657287597656,109.37787628173828
2019-07-31,128.97132873535156,153.15794372558594,108.26052856445312
2019-08-01,130.66542053222656,149.49998474121094,109.77954864501953
2019-08-02,129.56753540039062,144.4343719482422,107.53751373291016
2019-08-05,125.1287612915039,141.57940673828125,102.7978286743164
2019-08-06,127.47592163085938,141.5595703125,102.7759017944336
2019-08-07,128.03431701660156,140.40965270996094,101.59282684326172
2019-08-08,131.4509735107422,142.5707244873047,103.52136993408203
2019-08-09,130.33416748046875,142.12461853027344,100.587890625
2019-08-12,128.5170135498047,139.49765014648438,98.7701644897461
2019-08-13,131.17649841308594,142.63018798828125,100.336669921875
2019-08-14,127.2261734008789,138.50633239746094,96.98202514648438
2019-08-15,126.94134521484375,140.8954315185547,97.47708129882812
2019-08-16,129.26780700683594,142.64010620117188,98.83668518066406
2019-08-19,131.43287658691406,142.42201232910156,99.7824935913086
2019-08-20,130.3408203125,144.27578735351562,98.27510070800781
2019-08-21,131.79371643066406,146.09979248046875,99.19874572753906
2019-08-22,130.83465576171875,146.95233154296875,99.25045776367188
2019-08-23,126.66593170166016,150.25341796875,95.74064636230469
2019-08-26,128.6221160888672,153.7924041748047,96.05098724365234
2019-08-27,128.89747619628906,152.2360382080078,96.92289733886719
2019-08-28,128.72654724121094,150.51112365722656,98.0977783203125
2019-08-29,131.157470703125,154.57553100585938,99.66426849365234
2019-08-30,130.9105987548828,154.7143096923828,100.14454650878906
2019-09-03,129.18235778808594,151.40330505371094,99.087890625
2019-09-04,130.69219970703125,151.1356964111328,100.728271484375
2019-09-05,132.990234375,152.43429565429688,104.16421508789062
2019-09-06,132.0880889892578,149.75775146484375,103.86865997314453
2019-09-09,130.58775329589844,148.24102783203125,105.36865997314453
2019-09-10,129.22035217285156,148.35008239746094,107.17898559570312
2019-09-11,129.25833129882812,152.7515106201172,106.10757446289062
2019-09-12,130.58775329589844,153.40574645996094,106.1223373413086
2019-09-13,130.3978271484375,151.65113830566406,106.1592788696289
2019-09-16,129.45773315429688,151.68089294433594,105.27998352050781
2019-09-17,130.46429443359375,151.4925537109375,105.07308197021484
2019-09-18,131.53733825683594,151.44296264648438,105.08784484863281
2019-09-19,133.95880126953125,152.2657928466797,105.64203643798828
2019-09-20,132.41098022460938,153.85186767578125,104.83662414550781
2019-09-23,132.1260986328125,153.306640625,104.97702026367188
2019-09-24,130.45481872558594,150.72923278808594,104.6888427734375
2019-09-25,132.3350067138672,151.66107177734375,105.78244018554688
2019-09-26,132.5059051513672,151.0167236328125,106.07061004638672
2019-09-27,130.7871551513672,146.97215270996094,105.84153747558594
2019-09-30,132.0216522216797,147.15057373046875,107.452392578125
2019-10-01,130.1604766845703,146.40707397460938,106.15190887451172
2019-10-02,127.86243438720703,142.96722412109375,104.69625854492188
2019-10-03,129.41026306152344,145.7230987548828,104.94010162353516
2019-10-04,131.157470703125,146.744140625,105.65682983398438
